   10000.0000       5.54000014E-24
   11220.1895       1.81000001E-23
   12589.2510       5.13000002E-23
   14125.3789       1.16000002E-22
   15848.9248       1.80999995E-22
   17782.7949       1.89000004E-22
   19952.6328       1.57000006E-22
   22387.2070       1.23000000E-22
   25118.8691       1.00000003E-22
   28183.8164       9.09000003E-23
   31622.7773       8.99999984E-23
   35481.3555       9.43999995E-23
   39810.7070       1.05999997E-22
   44668.3672       1.25999994E-22
   50118.7031       1.57000006E-22
   56234.1328       2.03000000E-22
   63095.7617       2.66000010E-22
   70794.5625       3.40000009E-22
   79432.8438       4.08999994E-22
   89125.0547       4.61000014E-22
   100000.000       4.89000007E-22
   112201.898       4.78999977E-22
   125892.516       4.60000016E-22
   141253.781       4.68999997E-22
   158489.250       4.98999986E-22
   177827.938       5.32000019E-22
   199526.312       5.54000025E-22
   223872.062       5.66000000E-22
   251188.703       5.54000025E-22
   281838.156       4.76999981E-22
   316227.781       3.45999997E-22
   354813.531       2.45000002E-22
   398107.094       1.96000002E-22
   446683.688       1.78000001E-22
   501187.000       1.70000005E-22
   562341.312       1.60000000E-22
   630957.625       1.42999997E-22
   707945.625       1.29000000E-22
   794328.438       1.23000000E-22
   891250.562       1.21000004E-22
   1000000.00       1.17999998E-22
   1122019.00       1.12999995E-22
   1258925.12       1.08000006E-22
   1412537.88       1.01999999E-22
   1584892.50       9.67999983E-23
   1778279.38       8.91999988E-23
   1995263.25       7.87000014E-23
   2238720.75       6.62999978E-23
   2511887.00       5.47000001E-23
   2818381.75       4.52999998E-23
   3162277.75       3.82999984E-23
   3548135.50       3.36999990E-23
   3981070.75       3.10999987E-23
   4466837.00       2.98000001E-23
   5011870.00       2.93000011E-23
   5623413.50       2.94000003E-23
   6309576.00       2.98000001E-23
   7079456.50       3.02999991E-23
   7943284.00       3.06999989E-23
   8912505.00       3.06999989E-23
   10000000.0       3.01000007E-23
   11220189.0       2.86999998E-23
   12589251.0       2.64000001E-23
   14125379.0       2.35999999E-23
   15848925.0       2.11999994E-23
   17782794.0       1.94999994E-23
